Interaction Energy (eV) based on different positions during horizontal rotation around x axis
rotation Degree     point 1             point 2             point 3             point 4             point 5
   84.0000         -0.62289370         -0.62067386         -0.62428957         -0.61767330         -0.62992503 
   85.0000         -0.62341627         -0.62043049         -0.62616064         -0.61871953         -0.62923483 
   86.0000         -0.62431030         -0.62007707         -0.62784430         -0.61967403         -0.62855567 
   87.0000         -0.62535461         -0.61982800         -0.62919583         -0.62050537         -0.62800631 
   88.0000         -0.62650794         -0.61962003         -0.63019434         -0.62118203         -0.62756984 
   89.0000         -0.62773722         -0.61945613         -0.63076941         -0.62159622         -0.62730822 
   90.0000         -0.62897946         -0.61942160         -0.63096200         -0.62181797         -0.62725714 
   91.0000         -0.63008024         -0.61945616         -0.63076949         -0.62159626         -0.62730828 
   92.0000         -0.63090857         -0.61962010         -0.63019448         -0.62118211         -0.62756996 
   93.0000         -0.63152806         -0.61982809         -0.62919602         -0.62050548         -0.62800648 
   94.0000         -0.63186740         -0.62008214         -0.62783461         -0.61967417         -0.62855588 
   95.0000         -0.63181451         -0.62043061         -0.62616091         -0.61871968         -0.62923506 
   96.0000         -0.63140617         -0.62067399         -0.62428983         -0.61767345         -0.62992527 
   97.0000         -0.63055361         -0.62095106         -0.62242178         -0.61660954         -0.63052280 
   98.0000         -0.62935963         -0.62123319         -0.62062887         -0.61559470         -0.63098554 
   99.0000         -0.62788859         -0.62141700         -0.61895890         -0.61470744         -0.63132930 
  100.0000         -0.62609524         -0.62153317         -0.61754815         -0.61398343         -0.63146850 
  101.0000         -0.62420678         -0.62155810         -0.61641578         -0.61345271         -0.63132218 
  102.0000         -0.62226239         -0.62156767         -0.61564814         -0.61316190         -0.63092408 
  103.0000         -0.62024391         -0.62146642         -0.61520131         -0.61316787         -0.63027326 
  104.0000         -0.61837178         -0.62117332         -0.61513772         -0.61333817         -0.62929412 
  105.0000         -0.61663048         -0.62094620         -0.61541960         -0.61386826         -0.62815420 
  106.0000         -0.61516278         -0.62066488         -0.61606976         -0.61474354         -0.62693425 
  107.0000         -0.61404355         -0.62027315         -0.61692004         -0.61564282         -0.62546611 
  108.0000         -0.61324988         -0.62001712         -0.61801695         -0.61664957         -0.62390431 
  109.0000         -0.61281921         -0.61976150         -0.61933407         -0.61783490         -0.62235550 
  110.0000         -0.61269942         -0.61959706         -0.62068537         -0.61903995         -0.62087560 
  111.0000         -0.61287952         -0.61954256         -0.62207632         -0.62032110         -0.61952544 
  112.0000         -0.61344038         -0.61946415         -0.62332994         -0.62161936         -0.61825836 
  113.0000         -0.61420409         -0.61941456         -0.62449508         -0.62285525         -0.61718524 
  114.0000         -0.61518368         -0.61944058         -0.62543066         -0.62396019         -0.61627790 
  115.0000         -0.61632911         -0.61967246         -0.62632390         -0.62494432         -0.61553561 
  116.0000         -0.61747258         -0.61992201         -0.62698191         -0.62581062         -0.61497668 
  117.0000         -0.61874690         -0.62034623         -0.62750556         -0.62652991         -0.61460172 
  118.0000         -0.62000241         -0.62068801         -0.62774460         -0.62710573         -0.61445303 
  119.0000         -0.62115770         -0.62112039         -0.62774394         -0.62760331         -0.61451862 
  120.0000         -0.62208827         -0.62148973         -0.62743420         -0.62791253         -0.61462624 
  121.0000         -0.62297444         -0.62187669         -0.62699808         -0.62802631         -0.61484194 
  122.0000         -0.62370709         -0.62226636         -0.62634389         -0.62794649         -0.61510592 
  123.0000         -0.62423226         -0.62260345         -0.62549230         -0.62764857         -0.61538094 
  124.0000         -0.62453284         -0.62295927         -0.62447483         -0.62721663         -0.61570446 
  125.0000         -0.62482397         -0.62323493         -0.62319790         -0.62663320         -0.61606634 
  126.0000         -0.62482696         -0.62344657         -0.62184249         -0.62593359         -0.61646039 
  127.0000         -0.62467566         -0.62362432         -0.62028727         -0.62517826         -0.61696321 
  128.0000         -0.62435706         -0.62376659         -0.61867547         -0.62425063         -0.61734640 
  129.0000         -0.62404163         -0.62389877         -0.61698539         -0.62346106         -0.61797497 
  130.0000         -0.62353545         -0.62395887         -0.61524229         -0.62264813         -0.61863804 
  131.0000         -0.62278687         -0.62407528         -0.61359829         -0.62174487         -0.61913558 
  132.0000         -0.62196598         -0.62424578         -0.61208906         -0.62090480         -0.61975100 
  133.0000         -0.62111913         -0.62444130         -0.61072630         -0.62017327         -0.62038110 
  134.0000         -0.62017545         -0.62467298         -0.60968016         -0.61953631         -0.62097188 
  135.0000         -0.61919736         -0.62486535         -0.60871182         -0.61914463         -0.62156096 
  136.0000         -0.61831309         -0.62515518         -0.60812288         -0.61890932         -0.62215445 
  137.0000         -0.61744446         -0.62556987         -0.60785848         -0.61896943         -0.62274986 
  138.0000         -0.61666332         -0.62607423         -0.60802223         -0.61923844         -0.62336562 
  139.0000         -0.61610309         -0.62670388         -0.60868216         -0.61982934         -0.62403128 
  140.0000         -0.61572699         -0.62736724         -0.60971262         -0.62070953         -0.62465753 
  141.0000         -0.61559505         -0.62815636         -0.61122871         -0.62186922         -0.62540879 
  142.0000         -0.61564093         -0.62908179         -0.61299415         -0.62330951         -0.62608734 
  143.0000         -0.61607719         -0.63007669         -0.61520433         -0.62495932         -0.62676622 
  144.0000         -0.61680942         -0.63114926         -0.61766530         -0.62682447         -0.62746923 
  145.0000         -0.61778039         -0.63222288         -0.62034535         -0.62878102         -0.62808055 
  146.0000         -0.61912739         -0.63340217         -0.62319825         -0.63087406         -0.62880133 
  147.0000         -0.62065969         -0.63466480         -0.62618301         -0.63309739         -0.62946417 
  148.0000         -0.62248152         -0.63590434         -0.62919221         -0.63535463         -0.63022699 
  149.0000         -0.62448750         -0.63706391         -0.63204230         -0.63753601         -0.63097673 
  150.0000         -0.62665769         -0.63836133         -0.63495136         -0.63963269         -0.63175510 
  151.0000         -0.62888379         -0.63954689         -0.63771658         -0.64166537         -0.63257220 
  152.0000         -0.63108701         -0.64063861         -0.64020038         -0.64358691         -0.63330399 
  153.0000         -0.63322995         -0.64164921         -0.64246116         -0.64528377         -0.63407028 
  154.0000         -0.63526940         -0.64250645         -0.64439580         -0.64679615         -0.63478139 
  155.0000         -0.63724538         -0.64326396         -0.64599656         -0.64812332         -0.63542577 
  156.0000         -0.63910659         -0.64387761         -0.64725021         -0.64919934         -0.63595248 
  157.0000         -0.64073914         -0.64436168         -0.64824945         -0.64996047         -0.63627211 
  158.0000         -0.64211671         -0.64468703         -0.64896972         -0.65034981         -0.63643969 
  159.0000         -0.64332785         -0.64476593         -0.64928392         -0.65044456         -0.63649505 
  160.0000         -0.64423163         -0.64466983         -0.64917766         -0.65040559         -0.63648415 
  161.0000         -0.64474301         -0.64438013         -0.64876987         -0.65006386         -0.63636957 
  162.0000         -0.64512797         -0.64389017         -0.64789629         -0.64945295         -0.63614022 
  163.0000         -0.64512005         -0.64329839         -0.64675681         -0.64849961         -0.63576222 
  164.0000         -0.64482503         -0.64259577         -0.64535514         -0.64718455         -0.63514659 
  165.0000         -0.64423198         -0.64172850         -0.64357239         -0.64571254         -0.63450643 
  166.0000         -0.64342076         -0.64076044         -0.64153344         -0.64404331         -0.63392710 
  167.0000         -0.64234606         -0.63958708         -0.63908090         -0.64215700         -0.63321477 
  168.0000         -0.64114272         -0.63840794         -0.63642311         -0.64010870         -0.63246367 
  169.0000         -0.63974853         -0.63720476         -0.63361788         -0.63797598         -0.63183330 
  170.0000         -0.63819261         -0.63593314         -0.63062063         -0.63577822         -0.63119180 
  171.0000         -0.63652860         -0.63476243         -0.62764426         -0.63359342         -0.63063199 
  172.0000         -0.63472463         -0.63365634         -0.62467993         -0.63138292         -0.63014286 
  173.0000         -0.63281098         -0.63265212         -0.62186312         -0.62933504         -0.62967972 
  174.0000         -0.63087102         -0.63174159         -0.61923397         -0.62732576         -0.62926399 
  175.0000         -0.62889240         -0.63093457         -0.61684299         -0.62550206         -0.62887299 
  176.0000         -0.62682648         -0.63022905         -0.61476708         -0.62389156         -0.62859500 
  177.0000         -0.62479814         -0.62968061         -0.61300655         -0.62260134         -0.62837747 
  178.0000         -0.62296380         -0.62925714         -0.61165040         -0.62170965         -0.62829643 
  179.0000         -0.62132644         -0.62890832         -0.61077342         -0.62117694         -0.62828879 
  180.0000         -0.61982512         -0.62888112         -0.61054439         -0.62096091         -0.62819392 
  181.0000         -0.61863687         -0.62890828         -0.61077333         -0.62117689         -0.62828872 
  182.0000         -0.61762877         -0.62925708         -0.61165022         -0.62170957         -0.62829628 
  183.0000         -0.61706757         -0.62968052         -0.61300629         -0.62260123         -0.62837725 
  184.0000         -0.61679296         -0.63022893         -0.61476676         -0.62389141         -0.62859472 
  185.0000         -0.61688111         -0.63093443         -0.61684261         -0.62550189         -0.62887265 
  186.0000         -0.61745571         -0.63174142         -0.61923354         -0.62732557         -0.62926360 
  187.0000         -0.61833676         -0.63265194         -0.62186266         -0.62933483         -0.62967930 
  188.0000         -0.61961872         -0.63365614         -0.62467945         -0.63138271         -0.63014242 
  189.0000         -0.62117592         -0.63476222         -0.62764378         -0.63359321         -0.63063153 
  190.0000         -0.62299737         -0.63593293         -0.63062016         -0.63577802         -0.63119134 
  191.0000         -0.62497652         -0.63720455         -0.63361743         -0.63797579         -0.63183285 
  192.0000         -0.62716947         -0.63840774         -0.63642268         -0.64010852         -0.63246324 
  193.0000         -0.62941971         -0.63958689         -0.63908051         -0.64215683         -0.63321437 
  194.0000         -0.63169173         -0.64076026         -0.64153309         -0.64404813         -0.63392673 
  195.0000         -0.63383397         -0.64172835         -0.64357208         -0.64571241         -0.63450611 
  196.0000         -0.63599936         -0.64259564         -0.64535488         -0.64718445         -0.63514632 
  197.0000         -0.63790197         -0.64329828         -0.64675660         -0.64849953         -0.63576200 
  198.0000         -0.63957880         -0.64389009         -0.64789613         -0.64945289         -0.63614005 
  199.0000         -0.64101687         -0.64438007         -0.64876976         -0.65006382         -0.63636946 
  200.0000         -0.64223304         -0.64466981         -0.64917761         -0.65040557         -0.63648410 
  201.0000         -0.64324819         -0.64476593         -0.64928392         -0.65044456         -0.63649506 
